"series","episode","first_name","last_name","baker_age","baker_occupation","hometown","signature_bake","show_stopper","technical","result","viewers"
"5",3,"Norman","Calder",66,"Retired Naval Officer","Portknockie, Moray","Rye Bread Rolls","Chicken and Roasted Vegetable Picnic Loaf",4,"IN",9.28
"5",3,"Chetna","Makan",35,"Fashion Designer","Broadstairs, Kent","Onion and Pine Nut Rolls","Rolled and Filled Twin Loaf",8,"IN",9.28
"5",3,"Iain","Watters",31,"Construction Engineer","London/Belfast","Cranberry and Walnut Rye Bread Rolls","Moroccan Plaited with a Bessara Dip",9,"IN",9.28
"5",3,"Martha","Collison",17,"Student","Ascot, Berkshire","Date and Walnut Rye Rolls","Stuffed Sunflower Loaf",3,"IN",9.28
"5",3,"Diana","Beard",69,"Women's Institute (WI) Judge","Alkington, Shropshire","Rustic Picnic Rolls","Sharing Savoury Pinwheel",7,"IN",9.28
"5",3,"Jordan","Cox",32,"IT Manager","Sneinton, Nottingham","Rye and Spelt Bread Rolls","Strawberry Raspberry Cheesecake Brioche",10,"OUT",9.28
"5",3,"Luis","Troyano",42,"Graphic Designer","Poynton, Cheshire","Opposites Attract Rolls","Roscón de Reyes",2,"STAR BAKER",9.28
"5",3,"Richard","Burr",38,"Builder","Mill Hill, London","Rye and Cranberry Rolls","Pesto Pinwheel",6,"IN",9.28
"5",4,"Martha","Collison",17,"Student","Ascot, Berkshire","Peanut Butter Chocolate Fondants","Key Lime Baked Alaska",1,"IN",10.25
"5",4,"Kate","Henry",41,"Furniture Restorer","Brighton, East Sussex","Chocolate and Salted Caramel Molten Puddings","Pistachio, Raspberry and Chocolate Baked Alaska",7,"IN",10.25
"5",4,"Chetna","Makan",35,"Fashion Designer","Broadstairs, Kent","Rhubarb, Strawberry and Orange Puddings","Mango, Raspberry and Coconut Baked Alaska",3,"IN",10.25
"5",4,"Norman","Calder",66,"Retired Naval Officer","Portknockie, Moray","Mini Sticky Toffee Puddings","Baked Alaska with Strawberry Surprise",8,"IN",10.25
"5",4,"Diana","Beard",69,"Women's Institute (WI) Judge","Alkington, Shropshire","Orange and Lemon Curd Pots","Raspberry Ripple Alaska Swan",9,"IN",10.25
"5",4,"Nancy","Birtwhistle",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire","Pistachio Puddings with Chocolate Sauce","Summer Pudding Alaska",4,"IN",10.25
"5",4,"Richard","Burr",38,"Builder","Mill Hill, London","Black Forest Chocolate Fondants","Tiramisu Baked Alaska",5,"STAR BAKER",10.25
"5",4,"Iain","Watters",31,"Construction Engineer","London/Belfast","Chocolate, Lime and Raspberry Fondants","Chocolate, Black Sesame Seed and Coffee Caramel Baked Alaska (not presented)",6,"OUT",10.25
"5",4,"Luis","Troyano",42,"Graphic Designer","Poynton, Cheshire","Pears in Puddings","Bakewell Alaska",2,"IN",10.25
"5",5,"Nancy","Birtwhistle",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire","Chocolate Crusted Passion Fruit Tart","Trio of Apple Pies",4,"IN",9.95
